ASPL;;;;;
;diff;lwr;upr;p adj;d
viejos:1-jovenes:1;0.094335961;0.054321655;0.13435027;3.385431e-08;0.25986045
jovenes:2-jovenes:1;-0.001097027;-0.041111333;0.03891728;9.998746e-01;0.01726528
viejos:2-jovenes:1;0.131726056;0.091711750;0.17174036;2.489395e-08;0.36367674
jovenes:2-viejos:1;-0.095432988;-0.135447294;-0.05541868;3.068632e-08;0.26496448
viejos:2-viejos:1;0.037390095;-0.002624211;0.07740440;7.692185e-02;0.11060162
viejos:2-jovenes:2;0.132823083;0.092808778;0.17283739;2.489395e-08;0.36533203
;;;;;
;;;;;
CC;;;;;
;diff;lwr;upr;p adj;d
viejos:1-jovenes:1;-0.0032835633;-0.0043229452;-0.0022441814;2.489396e-08;0.37381407
jovenes:2-jovenes:1;0.0003823103;-0.0006570717;0.0014216922;7.803310e-01;0.04404667
viejos:2-jovenes:1;-0.0035344130;-0.0045737949;-0.0024950311;2.489394e-08;0.38773061
jovenes:2-viejos:1;0.0036658736;0.0026264917;0.0047052555;2.489395e-08;0.40857841
viejos:2-viejos:1;-0.0002508496;-0.0012902316;0.0007885323;9.256252e-01;0.02758495
viejos:2-jovenes:2;-0.0039167232;-0.0049561052;-0.0028773413;2.489395e-08;0.42123848
;;;;;
;;;;;
Q;;;;;
;diff;lwr;upr;p adj;d
viejos:1-jovenes:1;0.006151815;0.0042464976;8.057133e-03;2.489395e-08;0.3169193
jovenes:2-jovenes:1;-0.001985577;-0.0038908947;-8.025972e-05;3.727902e-02;0.1307943
viejos:2-jovenes:1;0.007818642;0.0059133250;9.723960e-03;2.489395e-08;0.4328303
jovenes:2-viejos:1;-0.008137392;-0.0100427098;-6.232075e-03;2.489394e-08;0.4380596
viejos:2-viejos:1;0.001666827;-0.0002384902;3.572145e-03;1.106082e-01;0.1208648
viejos:2-jovenes:2;0.009804220;0.0078989021;1.170954e-02;2.489391e-08;0.5489224
